21-May-2024 15:22:17.656 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Associated with Deployer 'Catalina:type=Deployer,host=localhost'
21-May-2024 15:22:17.656 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: init: Global resources are available
21-May-2024 15:22:17.663 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
21-May-2024 15:22:17.663 INFO [http-nio-8080-exec-1] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-session.war.tmp
21-May-2024 15:22:38.218 INFO [http-nio-8080-exec-3] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
21-May-2024 15:22:38.219 INFO [http-nio-8080-exec-3] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-session.war.tmp
21-May-2024 15:24:36.016 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
21-May-2024 15:24:36.016 INFO [http-nio-8080-exec-16] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-session.war.tmp
21-May-2024 15:26:07.545 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
21-May-2024 15:26:07.545 INFO [http-nio-8080-exec-24] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-session.war.tmp
21-May-2024 15:56:32.201 INFO [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Manager: deploy: Deploying web application '/webapp-session'
21-May-2024 15:56:32.203 INFO [http-nio-8080-exec-35] org.apache.catalina.core.ApplicationContext.log Manager: Uploading WAR file to E:\CURSOS\CursoJava\JavaEE\apache-tomcat-10.1.23\webapps\webapp-session.war.tmp
